log,happy,who,what,where,weather
241,0,Alone,Resting,Home,Cloudy
242,0,Alone,Resting,Home,Clear
243,0,Alone,Working,Home,Cloudy
244,0,Coworker,Working,Waterloo,Cloudy
245,0,Alone,Watching,Home,Clear
246,1,Alone,Making,Home,Clear
247,0,Alone,Browsing,Home,Cloudy
248,0,Alone,Resting,Home,Snow
249,0,Alone,Working,Home,Snow
250,1,Friend,Gaming,Waterloo,Overcast
251,0,Friend,Eating,Toronto,Rain
252,1,Friend,Resting,Carlisle,Overcast
253,0,Alone,Commuting,Toronto,Snow
254,0,Alone,Commuting,Travel,Clear
255,0,Acquaintance,Commuting,USA,Clear
256,1,Alone,Exercising,USA,Clear
257,1,Acquaintance,Partying,USA,Clear
258,1,Acquaintance,Partying,USA,Clear
259,0,Alone,Partying,USA,Clear
260,0,Alone,Resting,USA,Cloudy
261,1,Alone,Working,USA,Clear
262,0,Alone,Working,USA,Cloudy
263,1,Coworker,Working,USA,Cloudy
264,1,Alone,Showering,USA,Clear
265,0,Acquaintance,Eating,USA,Rain
266,0,Alone,Resting,USA,Cloudy
267,0,Alone,Commuting,USA,Clear
268,0,Alone,Commuting,USA,Clear
269,0,Alone,Commuting,Waterloo,Overcast
270,0,Alone,Commuting,Waterloo,Overcast
271,1,Girlfriend,Partying,London,Cloudy
272,1,Girlfriend,Recovering,London,Overcast
273,1,Girlfriend,Resting,London,Overcast
274,1,Girlfriend,Eating,London,Overcast
275,1,Girlfriend,Playing,London,Cloudy
276,0,Alone,Listening,Travel,Overcast
277,1,Alone,Making,Home,Overcast
278,0,Alone,Resting,Home,Snow
279,1,Friend,Making,Waterloo,Snow
280,1,Friend,Partying,Waterloo,Snow
281,0,Alone,Resting,Home,Overcast
282,0,Alone,Working,Home,Overcast
283,0,Alone,Working,Home,Snow
284,0,Friend,Working,Waterloo,Snow
285,0,Alone,Eating,Home,Snow
286,0,Alone,Watching,Home,Snow
287,0,Alone,Watching,Home,Snow
288,0,Friend,Working,Waterloo,Clear
289,1,Alone,Working,Home,Cloudy
290,1,Alone,Making,Home,Clear
291,0,Alone,Watching,Home,Overcast
292,0,Alone,Working,Home,Snow
293,0,Alone,Resting,Home,Overcast
294,0,Alone,Working,Waterloo,Overcast
295,0,Alone,Shopping,Waterloo,Overcast
296,0,Alone,Commuting,Travel,Cloudy
297,1,Alone,Making,Home,Overcast
298,0,Alone,Watching,Home,Snow
299,0,Alone,Eating,Home,Snow
300,0,Alone,Resting,Home,Snow
301,0,Alone,Resting,Home,Overcast
302,0,Alone,Making,Home,Clear
303,1,Friend,Partying,Home,Cloudy
304,1,Alone,Partying,Waterloo,Cloudy
305,0,Alone,Recovering,Home,Overcast
306,1,Girlfriend,Watching,Home,Snow
307,1,Girlfriend,Playing,Home,Overcast
308,1,Girlfriend,Watching,Home,Snow
309,1,Girlfriend,Playing,Home,Overcast
310,1,Girlfriend,Resting,Home,Clear
311,0,Girlfriend,Working,Waterloo,Cloudy
312,1,Girlfriend,Eating,Waterloo,Cloudy
313,1,Alone,Watching,Home,Cloudy
314,0,Alone,Watching,Home,Cloudy
315,0,Alone,Making,Home,Overcast
