Owner,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Sharva,D,Player NoteKevin Shattenkirk NYR - D,,,NJ,16:00,63,156,96%,9,36,-3,18,141,67,91
Sharva,D,No new player NotesJake Gardiner Tor - D,,,@Mon,16:00,107,137,78%,8,31,13,12,124,71,69
Sharva,D,Player NoteBrent Seabrook Chi - D,,,Nsh,17:30,170,113,72%,7,31,3,13,142,114,144
Sharva,BN,Player NoteJakub Voracek Phi - RW,,,Was,16:00,88,133,63%,19,40,-4,20,210,33,23
Sharva,BN,New Player NoteKyle Turris Ott - C,,,@Edm,19:00,104,146,43%,24,33,-6,16,215,43,41
Sharva,BN,"Player NoteTyler Toffoli LA - C,RW",,,Buf,19:30,118,88,44%,24,27,14,15,199,62,19
Sharva,IR+,"New Player NoteJordan Eberle NYI - C,RW
Day-to-Day",,,@SJ,19:30,96,171,47%,23,30,-3,16,200,27,30
,,,,,,,,,,,,,,,,
,,,,,,,Rankings,,Fantasy,Offense,,,,,,
,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Isaac,C,"No new player NotesVladislav Namestnikov TB - C,LW",,,StL,16:00,326,220,24%,14,24,8,8,120,73,32
Isaac,C,Player NoteSteven Stamkos TB - C,,,StL,16:00,30,71,86%,36,29,3,19,221,45,35
Isaac,LW,New Player NoteAlex Ovechkin Was - LW,,,@Phi,16:00,8,2,97%,44,36,13,25,311,209,31
Isaac,LW,"Player NoteSebastian Aho Car - LW,RW",,,@Wpg,16:00,91,152,53%,23,24,-4,15,208,55,67
Isaac,RW,Player NotePatric Hornqvist Pit - RW,,,Fla,16:00,124,28,37%,21,26,11,17,219,187,54
Isaac,RW,"Player NoteJakub Vrana Was - LW,RW",,,@Phi,16:00,777,534,30%,8,8,-5,4,77,31,10
Isaac,D,Player NoteRasmus Ristolainen Buf - D,,,@LA,19:30,71,50,91%,7,40,-5,21,191,154,134
Isaac,D,New Player NoteSeth Jones Cls - D,,,@Min,17:00,98,136,84%,11,31,8,9,161,55,99
Isaac,D,Player NoteShayne Gostisbehere Phi - D,,,Was,16:00,136,237,74%,8,29,-12,20,166,34,88
Isaac,D,(Empty),,,,,-,-,0%,0,0,0,0,0,0,0
Isaac,BN,"New Player NoteJames Neal VGK - LW,RW",,,,,102,187,51%,27,22,-15,18,211,81,33
Isaac,BN,"Player NoteKevin Labanc SJ - LW,RW",,,NYI,19:30,625,426,13%,11,12,7,1,88,27,21
Isaac,BN,No new player NotesAlexander Radulov Dal - RW,,,Col,17:00,87,94,69%,21,34,7,18,169,77,35
