player,team,position,games,fantasy_points,vorp
Brock Boeser,Vancouver,RW,78,397.20000000000005,-197.92999999999995
David Krejci,Boston,C,71,428.7,-200.76500000000004
Kevin Hayes,N.Y. Rangers,C,78,425.8,-203.66500000000002
Charlie McAvoy,Boston,D,77,320.5,-204.03499999999997
Alex Killorn,Tampa Bay,LW,78,363.6,-205
Alexander Wennberg,Columbus,C,78,424.2,-205.26500000000004
Mathieu Perreault,Winnipeg,LW,66,360.7,-207.90000000000003
Patrick Eaves,Anaheim,RW,60,387.1,-208.02999999999997
Brock Nelson,N.Y. Islanders,C,81,421.3,-208.16500000000002
Craig Smith,Nashville,RW,80,386,-209.13
Richard Panik,Chicago,RW,78,385.4,-209.73000000000002
Jussi Jokinen,Edmonton,LW,75,358.4,-210.20000000000005
Adam Henrique,New Jersey,C,80,418.3,-211.16500000000002
Thomas Vanek,Vancouver,LW,73,356.4,-212.20000000000005
Timo Meier,San Jose,LW,79,355.9,-212.70000000000005
Bo Horvat,Vancouver,C,80,416.3,-213.16500000000002
Bobby Ryan,Ottawa,RW,71,380.4,-214.73000000000002
Jakob Chychrun,Arizona,D,75,309.2,-215.33499999999998
Jordan Staal,Carolina,C,76,410.3,-219.16500000000002
Frank Vatrano,Boston,LW,66,348.20000000000005,-220.39999999999998
Ryan Nugent-Hopkins,Edmonton,C,74,406.5,-222.96500000000003
Jean-Gabriel Pageau,Ottawa,C,82,405.9,-223.56500000000005
Connor Brown,Toronto,RW,81,370.5,-224.63
Victor Rask,Carolina,C,81,404.4,-225.06500000000005
Travis Konecny,Philadelphia,LW,77,342.9,-225.70000000000005
Artturi Lehkonen,Montreal,LW,75,341.3,-227.3
Bryan Little,Winnipeg,C,67,401.4,-228.06500000000005
Mike Cammalleri,Los Angeles,LW,64,339.9,-228.70000000000005
Brayden Point,Tampa Bay,C,75,400.1,-229.365
Carl Hagelin,Pittsburgh,LW,71,338.5,-230.10000000000002
Nick Bonino,Nashville,C,75,398.7,-230.76500000000004
Ryan Callahan,Tampa Bay,RW,70,362.3,-232.82999999999998
Andrew Cogliano,Anaheim,LW,82,335.5,-233.10000000000002
Tobias Rieder,Arizona,RW,78,359.8,-235.32999999999998
Nick Ritchie,Anaheim,LW,77,331.6,-237
Tomas Plekanec,Montreal,C,80,388.20000000000005,-241.265
Mikko Rantanen,Colorado,RW,78,353.4,-241.73000000000002
Chris Kunitz,Tampa Bay,LW,74,326.2,-242.40000000000003
Oskar Lindblom,Philadelphia,LW,72,325.7,-242.90000000000003
Brett Ritchie,Dallas,RW,78,349.8,-245.32999999999998
Kevin Fiala,Nashville,LW,75,322.8,-245.8
Paul Stastny,St. Louis,C,68,379,-250.46500000000003
Brandon Dubinsky,Columbus,C,74,378.2,-251.26500000000004
Ryan Spooner,Boston,C,79,377.70000000000005,-251.765
Ryan Strome,Edmonton,RW,73,342.6,-252.52999999999997
Zach Hyman,Toronto,LW,78,315.6,-253
Charles Hudon,Montreal,LW,72,314.5,-254.10000000000002
Sam Gagner,Vancouver,C,74,375.20000000000005,-254.265
Dustin Brown,Los Angeles,RW,81,340.1,-255.02999999999997
Henrik Sedin,Vancouver,C,80,371.1,-258.365
Colin Wilson,Colorado,LW,71,308.3,-260.3
Sean Couturier,Philadelphia,C,69,366.6,-262.865
Tyler Bozak,Toronto,C,74,366.2,-263.26500000000004
Martin Hanzal,Dallas,C,67,365.20000000000005,-264.265
Leo Komarov,Toronto,LW,74,301.9,-266.70000000000005
Josh Manson,Anaheim,D,77,257.5,-267.03499999999997
Anders Bjork,Boston,RW,75,326.5,-268.63
Lee Stempniak,Carolina,RW,79,324.8,-270.33
Joel Ward,San Jose,RW,79,323.8,-271.33
Andrew Shaw,Montreal,RW,73,323.2,-271.93
Jakub Vrana,Washington,RW,74,320.8,-274.33
Troy Brouwer,Calgary,RW,78,319.5,-275.63
Nico Hischier,New Jersey,C,78,351,-278.46500000000003
Jordan Weal,Philadelphia,LW,75,285.5,-283.1
Marko Dano,Winnipeg,LW,75,285.3,-283.3
Pavel Buchnevich,N.Y. Rangers,RW,74,309.8,-285.33
Anthony Duclair,Arizona,RW,78,306.2,-288.93
Nolan Patrick,Philadelphia,C,77,339,-290.46500000000003
Artem Anisimov,Chicago,C,71,337.5,-291.96500000000003
Justin Abdelkader,Detroit,RW,70,303,-292.13
Michael Grabner,N.Y. Rangers,RW,67,301.4,-293.73
Ales Hemsky,Montreal,RW,66,301,-294.13
Kailer Yamamoto,Edmonton,RW,75,300,-295.13
Scott Wilson,Pittsburgh,LW,72,272,-296.6
Oscar Lindberg,Vegas,C,74,331.8,-297.665
Nick Schmaltz,Chicago,RW,76,296.2,-298.93
Nick Bjugstad,Florida,C,68,329,-300.46500000000003
Christian Dvorak,Arizona,C,77,325.3,-304.165
Sam Bennett,Calgary,C,79,324.3,-305.165
Jesse Puljujarvi,Edmonton,RW,70,286.9,-308.23
Sven Andrighetto,Colorado,RW,71,283.2,-311.93
Bryan Rust,Pittsburgh,RW,67,273.3,-321.83
Adam Lowry,Winnipeg,C,80,297.8,-331.665
Pavel Zacha,New Jersey,C,78,293.5,-335.96500000000003
Vladimir Sobotka,St. Louis,RW,68,250.4,-344.73
Josh Ho-Sang,N.Y. Islanders,RW,75,246.3,-348.83
Mathew Barzal,N.Y. Islanders,C,75,277.4,-352.06500000000005
Cal Clutterbuck,N.Y. Islanders,RW,71,228.2,-366.93
