name,rating,time,age,complexity,abstract,childrens,customizable,family,party,strategy,thematic,wargames
Thebes,7.1,60.0,8.0,2.16,0,0,0,1,0,0,0,0
Sidereal Confluence: Remastered Edition,7.8,120.0,14.0,3.62,0,0,0,0,0,1,0,0
Coup,7.0,15.0,13.0,1.41,0,0,0,0,1,0,0,0
Las Vegas,7.1,30.0,8.0,1.19,0,0,0,1,0,0,0,0
One Night Ultimate Werewolf Daybreak,7.4,10.0,8.0,1.43,0,0,0,0,1,0,0,0
Triumph & Tragedy: European Balance of Power 1936-1945,8.2,240.0,12.0,3.32,0,0,0,0,0,0,0,1
Trains,7.2,45.0,12.0,2.39,0,0,0,0,0,1,0,0
Valeria: Card Kingdoms,7.4,30.0,13.0,2.00,0,0,0,1,0,0,0,0
Summoner Wars,7.3,30.0,9.0,2.31,0,0,1,0,0,0,0,0
Taluva,7.2,45.0,8.0,2.27,1,0,0,0,0,0,0,0
Oceans,7.7,60.0,12.0,2.83,0,0,0,0,0,1,0,0
Shadows of Brimstone: Swamps of Death,8.0,90.0,12.0,3.38,0,0,0,0,0,0,1,0
Thunderstone Advance: Towers of Ruin,7.4,45.0,12.0,2.74,0,0,0,0,0,1,0,0
Dixit: Journey,7.4,30.0,8.0,1.26,0,0,0,0,1,0,0,0
Shakespeare,7.4,20.0,13.0,2.99,0,0,0,0,0,1,0,0
Belfort,7.2,120.0,12.0,3.04,0,0,0,0,0,1,0,0
Dice Throne: Season One,7.6,20.0,8.0,2.05,0,0,0,1,0,0,0,0
Pax Renaissance,8.0,60.0,12.0,4.39,0,0,0,0,0,1,0,0
The Battle of Five Armies,7.9,90.0,13.0,3.57,0,0,0,0,0,0,1,0
Betrayal at House on the Hill,7.1,60.0,12.0,2.38,0,0,0,0,0,0,1,0
Formula D,7.0,60.0,8.0,1.98,0,0,0,1,0,0,0,0
Time's Up!,7.3,90.0,12.0,1.21,0,0,0,0,1,0,0,0
Zombicide: Green Horde,7.8,60.0,14.0,2.52,0,0,0,0,0,0,1,0
Smash Up: Awesome Level 9000,7.2,45.0,12.0,2.13,0,0,0,1,0,0,0,0
Luna,7.3,60.0,12.0,3.33,0,0,0,0,0,1,0,0
Cuba Libre,7.7,180.0,14.0,3.54,0,0,0,0,0,0,0,1
Defenders of the Realm,7.3,90.0,13.0,2.72,0,0,0,0,0,0,1,0
Mr. Jack,7.0,30.0,9.0,2.18,0,0,0,0,0,1,0,0
ZhanGuo,7.6,60.0,12.0,3.83,0,0,0,0,0,1,0,0
Skull King,7.4,30.0,8.0,1.75,0,0,0,1,0,0,0,0
Myrmes,7.3,60.0,13.0,3.45,0,0,0,0,0,1,0,0
Cuba,7.1,75.0,10.0,3.26,0,0,0,0,0,1,0,0
Lord of the Rings: The Confrontation,7.2,30.0,12.0,2.19,0,0,0,0,0,1,0,0
Torres,7.1,60.0,12.0,2.87,1,0,0,0,0,0,0,0
Star Trek: Ascendancy,7.8,180.0,14.0,3.15,0,0,0,0,0,0,1,0
The King's Dilemma,8.1,45.0,14.0,2.27,0,0,0,0,0,0,1,0
Warhammer Quest: The Adventure Card Game,7.4,30.0,14.0,2.71,0,0,0,0,0,0,1,0
Medici,7.1,60.0,10.0,2.26,0,0,0,0,0,1,0,0
Wallenstein,7.5,150.0,12.0,3.31,0,0,0,0,0,1,0,0
Specter Ops,7.2,60.0,13.0,2.39,0,0,0,0,0,1,0,0
Leaving Earth,7.8,60.0,15.0,3.73,0,0,0,0,0,1,0,0
Fury of Dracula (Second Edition),7.1,180.0,10.0,2.95,0,0,0,0,0,0,1,0
Star Wars: X-Wing (Second Edition),8.3,30.0,14.0,3.05,0,0,1,0,0,0,0,0
Exit: The Game – The Pharaoh's Tomb,7.2,45.0,12.0,2.81,0,0,0,1,0,0,0,0
The Downfall of Pompeii,7.1,45.0,10.0,1.85,0,0,0,1,0,0,0,0
Coloretto,7.0,30.0,8.0,1.28,0,0,0,1,0,0,0,0
Mandala,7.7,20.0,10.0,1.80,1,0,0,0,0,0,0,0
Escape: The Curse of the Temple,7.0,10.0,8.0,1.48,0,0,0,1,0,0,0,0
Kingdom Builder,7.0,45.0,8.0,2.07,0,0,0,1,0,0,0,0
My City,7.9,30.0,10.0,2.09,0,0,0,0,0,1,0,0
Tokaido,7.0,45.0,8.0,1.75,0,0,0,1,0,0,0,0
Steampunk Rally,7.2,45.0,14.0,2.58,0,0,0,1,0,0,0,0
Elder Sign,7.0,90.0,13.0,2.35,0,0,0,0,0,0,1,0
Cacao,7.1,45.0,8.0,1.82,0,0,0,1,0,0,0,0
Vegas Showdown,7.2,75.0,12.0,2.36,0,0,0,0,0,1,0,0
Dawn of the Zeds (Third Edition),8.2,90.0,14.0,3.76,0,0,0,0,0,0,1,0
Yamataï,7.2,40.0,13.0,2.95,0,0,0,0,0,1,0,0
High Society,7.1,15.0,10.0,1.50,0,0,0,1,0,0,0,0
Up Front,7.9,60.0,12.0,3.41,0,0,0,0,0,0,0,1
Arkwright,7.9,120.0,12.0,4.57,0,0,0,0,0,1,0,0
Eminent Domain,7.0,45.0,10.0,2.51,0,0,0,0,0,1,0,0
Advanced Squad Leader: Starter Kit #1,7.8,120.0,13.0,3.75,0,0,0,0,0,0,0,1
Bonfire,8.0,70.0,12.0,3.65,0,0,0,0,0,1,0,0
The Networks,7.2,60.0,13.0,2.58,0,0,0,0,0,1,0,0
Tash-Kalar: Arena of Legends,7.2,30.0,13.0,2.85,1,0,0,0,0,0,0,0
The Duke,7.4,30.0,13.0,2.50,1,0,0,0,0,0,0,0
Love Letter: Batman,7.3,20.0,10.0,1.20,0,0,0,1,0,0,0,0
BANG! The Dice Game,6.9,15.0,8.0,1.28,0,0,0,0,1,0,0,0
HeroQuest,7.1,90.0,14.0,2.16,0,0,0,0,0,0,1,0
Silver & Gold,7.3,20.0,8.0,1.16,0,0,0,1,0,0,0,0
The Oracle of Delphi,7.3,70.0,12.0,3.00,0,0,0,0,0,1,0,0
Arcadia Quest: Inferno,8.0,60.0,13.0,2.41,0,0,0,0,0,0,1,0
K2,7.1,30.0,8.0,2.26,0,0,0,1,0,0,0,0
Between Two Castles of Mad King Ludwig,7.3,45.0,10.0,2.17,0,0,0,1,0,0,0,0
Dragon Castle,7.2,30.0,8.0,1.97,1,0,0,0,0,0,0,0
Space Hulk,7.5,45.0,12.0,2.51,0,0,0,0,0,0,1,0
Cry Havoc,7.2,60.0,10.0,3.28,0,0,0,0,0,1,0,0
Century: Eastern Wonders,7.2,30.0,8.0,2.09,0,0,0,1,0,0,0,0
Onirim (Second Edition),7.1,15.0,10.0,1.57,0,0,0,1,0,0,0,0
Shipyard,7.4,120.0,11.0,3.50,0,0,0,0,0,1,0,0
Empires: Age of Discovery,7.9,50.0,10.0,3.35,0,0,0,0,0,1,0,0
Yspahan,7.1,45.0,8.0,2.36,0,0,0,0,0,1,0,0
Smartphone Inc.,7.8,60.0,12.0,2.78,0,0,0,0,0,1,0,0
Middle-Earth Quest,7.4,180.0,13.0,3.55,0,0,0,0,0,0,1,0
Crusaders: Thy Will Be Done,7.6,40.0,14.0,2.43,0,0,0,0,0,1,0,0
Zombicide Season 2: Prison Outbreak,7.4,60.0,13.0,2.68,0,0,0,0,0,0,1,0
Mexica,7.2,90.0,10.0,2.70,0,0,0,0,0,1,0,0
Coal Baron,7.3,60.0,10.0,2.55,0,0,0,0,0,1,0,0
Ashes Reborn: Rise of the Phoenixborn,7.3,30.0,14.0,2.93,0,0,1,0,0,0,0,0
Between Two Cities,7.0,25.0,8.0,1.82,0,0,0,1,0,0,0,0
Telestrations: 12 Player Party Pack,7.8,30.0,12.0,1.08,0,0,0,0,1,0,0,0
6 nimmt!,6.9,45.0,8.0,1.21,0,0,0,1,0,0,0,0
D-Day at Omaha Beach,8.3,480.0,12.0,3.45,0,0,0,0,0,0,0,1
